category,model,count,mean,std,median
procedural,Baseline,40,65.8,20.61017921269699,62.5
procedural,VIOLETS,40,74.35,27.22701335824876,80.0
eligibility,Baseline,40,71.575,18.285327591492724,70.0
eligibility,VIOLETS,40,82.525,18.046929563409577,90.0
mail_in,Baseline,40,69.8,14.719949832690432,70.0
mail_in,VIOLETS,40,78.675,21.779062516613614,85.0
results_integrity,Baseline,40,76.55,11.892574714221196,80.0
results_integrity,VIOLETS,40,74.65,21.626847038357507,80.0
edge_cases,Baseline,40,65.1,17.949787513919812,60.0
edge_cases,VIOLETS,40,79.675,19.95814530718133,90.0
