judge,model,bucket,count,pct
gpt-5-nano (primary),Baseline,0-9,0,0.0
gpt-5-nano (primary),Baseline,10-19,0,0.0
gpt-5-nano (primary),Baseline,20-29,3,1.7
gpt-5-nano (primary),Baseline,30-39,1,0.6
gpt-5-nano (primary),Baseline,40-49,7,3.9
gpt-5-nano (primary),Baseline,50-59,0,0.0
gpt-5-nano (primary),Baseline,60-69,56,31.1
gpt-5-nano (primary),Baseline,70-79,25,13.9
gpt-5-nano (primary),Baseline,80-89,38,21.1
gpt-5-nano (primary),Baseline,90-100,50,27.8
gpt-5-nano (primary),VIOLETS,0-9,0,0.0
gpt-5-nano (primary),VIOLETS,10-19,0,0.0
gpt-5-nano (primary),VIOLETS,20-29,5,2.8
gpt-5-nano (primary),VIOLETS,30-39,1,0.6
gpt-5-nano (primary),VIOLETS,40-49,7,3.9
gpt-5-nano (primary),VIOLETS,50-59,1,0.6
gpt-5-nano (primary),VIOLETS,60-69,37,20.6
gpt-5-nano (primary),VIOLETS,70-79,10,5.6
gpt-5-nano (primary),VIOLETS,80-89,35,19.4
gpt-5-nano (primary),VIOLETS,90-100,84,46.7
deepseek-v4-flash (secondary),Baseline,0-9,2,1.3
deepseek-v4-flash (secondary),Baseline,10-19,1,0.6
deepseek-v4-flash (secondary),Baseline,20-29,0,0.0
deepseek-v4-flash (secondary),Baseline,30-39,6,3.8
deepseek-v4-flash (secondary),Baseline,40-49,5,3.2
deepseek-v4-flash (secondary),Baseline,50-59,1,0.6
deepseek-v4-flash (secondary),Baseline,60-69,19,12.2
deepseek-v4-flash (secondary),Baseline,70-79,8,5.1
deepseek-v4-flash (secondary),Baseline,80-89,38,24.4
deepseek-v4-flash (secondary),Baseline,90-100,76,48.7
deepseek-v4-flash (secondary),VIOLETS,0-9,5,3.0
deepseek-v4-flash (secondary),VIOLETS,10-19,2,1.2
deepseek-v4-flash (secondary),VIOLETS,20-29,6,3.7
deepseek-v4-flash (secondary),VIOLETS,30-39,7,4.3
deepseek-v4-flash (secondary),VIOLETS,40-49,21,12.8
deepseek-v4-flash (secondary),VIOLETS,50-59,1,0.6
deepseek-v4-flash (secondary),VIOLETS,60-69,18,11.0
deepseek-v4-flash (secondary),VIOLETS,70-79,16,9.8
deepseek-v4-flash (secondary),VIOLETS,80-89,32,19.5
deepseek-v4-flash (secondary),VIOLETS,90-100,56,34.1
deepseek-v4-flash (no search),Baseline,0-9,1,0.6
deepseek-v4-flash (no search),Baseline,10-19,0,0.0
deepseek-v4-flash (no search),Baseline,20-29,3,1.7
deepseek-v4-flash (no search),Baseline,30-39,1,0.6
deepseek-v4-flash (no search),Baseline,40-49,5,2.8
deepseek-v4-flash (no search),Baseline,50-59,0,0.0
deepseek-v4-flash (no search),Baseline,60-69,6,3.4
deepseek-v4-flash (no search),Baseline,70-79,6,3.4
deepseek-v4-flash (no search),Baseline,80-89,47,26.3
deepseek-v4-flash (no search),Baseline,90-100,110,61.5
deepseek-v4-flash (no search),VIOLETS,0-9,3,1.7
deepseek-v4-flash (no search),VIOLETS,10-19,0,0.0
deepseek-v4-flash (no search),VIOLETS,20-29,1,0.6
deepseek-v4-flash (no search),VIOLETS,30-39,9,5.0
deepseek-v4-flash (no search),VIOLETS,40-49,17,9.4
deepseek-v4-flash (no search),VIOLETS,50-59,2,1.1
deepseek-v4-flash (no search),VIOLETS,60-69,24,13.3
deepseek-v4-flash (no search),VIOLETS,70-79,7,3.9
deepseek-v4-flash (no search),VIOLETS,80-89,29,16.1
deepseek-v4-flash (no search),VIOLETS,90-100,88,48.9
llama-3.3-70b (no search),Baseline,0-9,0,0.0
llama-3.3-70b (no search),Baseline,10-19,0,0.0
llama-3.3-70b (no search),Baseline,20-29,0,0.0
llama-3.3-70b (no search),Baseline,30-39,0,0.0
llama-3.3-70b (no search),Baseline,40-49,1,0.6
llama-3.3-70b (no search),Baseline,50-59,0,0.0
llama-3.3-70b (no search),Baseline,60-69,0,0.0
llama-3.3-70b (no search),Baseline,70-79,0,0.0
llama-3.3-70b (no search),Baseline,80-89,113,62.8
llama-3.3-70b (no search),Baseline,90-100,66,36.7
llama-3.3-70b (no search),VIOLETS,0-9,1,0.6
llama-3.3-70b (no search),VIOLETS,10-19,0,0.0
llama-3.3-70b (no search),VIOLETS,20-29,0,0.0
llama-3.3-70b (no search),VIOLETS,30-39,0,0.0
llama-3.3-70b (no search),VIOLETS,40-49,5,2.8
llama-3.3-70b (no search),VIOLETS,50-59,0,0.0
llama-3.3-70b (no search),VIOLETS,60-69,16,8.9
llama-3.3-70b (no search),VIOLETS,70-79,0,0.0
llama-3.3-70b (no search),VIOLETS,80-89,120,67.0
llama-3.3-70b (no search),VIOLETS,90-100,37,20.7
