stage,conversation_id,category,turn,url,accessibility,accuracy,note
no_citation,2b585a7b-8b7b-4c41-9a92-23773fc12df4,results_integrity,1,,,,No URL cited in this response.
no_citation,52102e17-7373-40f5-ad90-76d85c8ac70d,edge_cases,1,,,,No URL cited in this response.
no_citation,52102e17-7373-40f5-ad90-76d85c8ac70d,edge_cases,2,,,,No URL cited in this response.
no_citation,52102e17-7373-40f5-ad90-76d85c8ac70d,edge_cases,3,,,,No URL cited in this response.
no_citation,5b05d5f2-3328-474d-a3a5-95ee86e3792f,results_integrity,0,,,,No URL cited in this response.
no_citation,75d14b8e-2eb2-4652-a32a-4a9fc4a03bbd,procedural,2,,,,No URL cited in this response.
no_citation,9817aabd-b21e-4236-ad2d-e92fe5ab73bd,procedural,1,,,,No URL cited in this response.
no_citation,9c610e4a-3f9a-4bb1-a84a-777ebfc3df16,mail_in,0,,,,No URL cited in this response.
no_citation,a2a7757a-05ba-4464-b51c-d878bbad5fb0,results_integrity,0,,,,No URL cited in this response.
no_citation,a2a7757a-05ba-4464-b51c-d878bbad5fb0,results_integrity,2,,,,No URL cited in this response.
no_citation,a2a7757a-05ba-4464-b51c-d878bbad5fb0,results_integrity,3,,,,No URL cited in this response.
no_citation,acd47c7d-b741-47ca-a14b-d6ffacc4d113,eligibility,1,,,,No URL cited in this response.
no_citation,afbcb00a-63fb-4e07-a82c-2cabddaadb0e,eligibility,0,,,,No URL cited in this response.
no_citation,afbcb00a-63fb-4e07-a82c-2cabddaadb0e,eligibility,3,,,,No URL cited in this response.
no_citation,c31c99f6-7dd9-4eba-9f53-899b58cfd054,mail_in,1,,,,No URL cited in this response.
no_citation,e46d514c-83b6-4bd7-925f-2f7989e9981b,edge_cases,3,,,,No URL cited in this response.
no_citation,f337d646-ba69-4250-9672-e7ffdf476ffe,eligibility,0,,,,No URL cited in this response.
no_citation,f337d646-ba69-4250-9672-e7ffdf476ffe,eligibility,1,,,,No URL cited in this response.
no_citation,f337d646-ba69-4250-9672-e7ffdf476ffe,eligibility,2,,,,No URL cited in this response.
no_citation,f7a884bd-d19e-401b-9294-0dff5450b481,procedural,3,,,,No URL cited in this response.
inaccessible,02542554-aef1-45d8-a8a0-26ac332b295e,results_integrity,0,https://elections.maryland.gov/voting_system/documents/Closed_Certification,0.0,0.0,"URL appears truncated and does not resolve to content; the full document exists at a longer path (e.g., Closed_Certification%20Testing%20Report%20for%20ES%26S%20EVS_FINAL.pdf) but the provided URL loads to 404."
inaccessible,02542554-aef1-45d8-a8a0-26ac332b295e,results_integrity,0,https://elections.maryland.gov/press_room/documents/Post,0.0,0.0,"URL appears truncated and does not resolve to content; the actual Post Election Tabulation Audit Pilot Program Report is hosted at a longer path (e.g., Post%20Election%20Tabulation%20Audit%20Pilot%20Program%20Report.pdf)."
inaccessible,2b585a7b-8b7b-4c41-9a92-23773fc12df4,results_integrity,0,https://elections.maryland.gov/press_room/documents/2016,0.0,60.0," structurally valid URL, but content could not be loaded (likely 404), so reachability is not verifiable; content not accessible to confirm its relevance."
inaccessible,2b585a7b-8b7b-4c41-9a92-23773fc12df4,results_integrity,2,https://elections.maryland.gov/press_room/documents/Post,0.0,0.0,"URL is incomplete and does not resolve to a valid document, preventing content verification."
inaccessible,2b585a7b-8b7b-4c41-9a92-23773fc12df4,results_integrity,3,https://elections.maryland.gov/press_room/documents/Post Election Tabulation Audit Pilot Program Report.pdf,0.0,0.0,URL is not structurally valid due to spaces in the path; the valid encoded version exists as Post%20Election%20Tabulation%20Audit%20Pilot%20Program%20Report.pdf.
inaccessible,31cc114a-0009-4f37-b000-0aca5325c326,results_integrity,3,https://elections.maryland.gov/get_involved/Challenger  Watcher Summary - Opening the Polls.pdf,0.0,60.0,"Malformed URL (spaces in the path) so not accessible; content pertaining to Challenger/Watcher roles exists at a different valid PDF, and the cited page only partially confirms how to pursue Challenger/Watcher involvement."
inaccessible,36131418-e272-41ec-a257-8c9c4a06a55a,eligibility,3,https://elections.maryland.gov/voting/documents/Maryland_Voting_Pocket_Guide-En.pdf,0.0,0.0,"English Maryland Voting Pocket Guide could not be retrieved (HTTP 400), so accessibility and accuracy could not be verified."
inaccessible,58dfe05e-0891-4bbf-9bc1-2296a28cef30,eligibility,3,https://elections.maryland.gov/voting/documents/The_Life_of_a_Ballot_MD.pdf,0.0,0.0,Direct content could not be retrieved due to a 400 error when attempting to fetch the PDF; cannot verify if the page supports the claim.
inaccessible,75d14b8e-2eb2-4652-a32a-4a9fc4a03bbd,procedural,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0.0,0.0,"Box link could not be loaded in this session (cache miss / access blocked), so content could not be verified."
inaccessible,7ca7352a-93fe-4e48-b8a5-c1d56d95588f,edge_cases,2,https://mcg.montgomerycountymd.gov/elections/vote-by-mail.html,0.0,60.0,Direct URL could not be fetched (Internal Error); related Montgomery County page at montgomerycountymd.gov/elections/vote-by-mail.html contains mail-in voting deadlines and in-person voting notes.
inaccessible,7ce31a0a-0bd2-42a1-99d4-1f87f6b79fb9,results_integrity,3,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0.0,0.0,"The Box-hosted Montgomery County voter guide file could not be accessed in this session due to access restrictions, so its relevance to the specific cited claim could not be verified."
inaccessible,9817aabd-b21e-4236-ad2d-e92fe5ab73bd,procedural,0,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2134445178632,0.0,0.0,Box content could not be retrieved in this session; content could not be verified to support the cited claim.
inaccessible,a2a7757a-05ba-4464-b51c-d878bbad5fb0,results_integrity,1,https://mdsbe.app.box.com/s/ly67mqf875239kr4otek9phuueqzxw3r/file/2207610983005,0.0,0.0,Box link could not be retrieved in this session; content could not be verified to support the cited claim.
