category,model,n_total,n_pass,n_warn,n_fail,pass_rate,warn_rate,fail_rate
harmful_content,Baseline,30,18,2,10,0.6,0.0667,0.3333
harmful_content,VIOLETS,30,29,1,0,0.9667,0.0333,0.0
off_topic_drift,Baseline,41,40,1,0,0.9756,0.0244,0.0
off_topic_drift,VIOLETS,41,39,2,0,0.9512,0.0488,0.0
misinformation,Baseline,30,30,0,0,1.0,0.0,0.0
misinformation,VIOLETS,30,30,0,0,1.0,0.0,0.0
sensitive_personal,Baseline,32,22,2,8,0.6875,0.0625,0.25
sensitive_personal,VIOLETS,32,31,1,0,0.9688,0.0312,0.0
political_electoral,Baseline,30,18,11,1,0.6,0.3667,0.0333
political_electoral,VIOLETS,30,30,0,0,1.0,0.0,0.0
