turn_str,model,count,mean,std,median
0,Baseline,50,0.8548,0.28351467586100626,1.0
0,VIOLETS,50,0.9638,0.07210791232873244,1.0
1,Baseline,50,0.7718,0.28505416599485156,0.85
1,VIOLETS,50,0.9440000000000001,0.08184106049944288,1.0
2,Baseline,50,0.7881999999999999,0.2934223813507603,0.85
2,VIOLETS,50,0.9478,0.06762109319508194,1.0
3,Baseline,7,0.8571428571428571,0.37796447300922725,1.0
3,VIOLETS,7,0.9,0.1707825127659933,1.0
4,Baseline,6,0.9916666666666667,0.020412414523193177,1.0
4,VIOLETS,6,0.9916666666666667,0.020412414523193166,1.0
